"REGION","PROVINCE","DISTRICT","CD_DSTR_REFNIS"
"Flanders","Antwerpen","Antwerpen",11000
"Flanders","Antwerpen","Mechelen",12000
"Flanders","Antwerpen","Turnhout",13000
"Brussels","Brussel","Brussel-Hoofdstad",21000
"Flanders","Vlaams-Brabant","Halle-Vilvoorde",23000
"Flanders","Vlaams-Brabant","Leuven",24000
"Wallonia","Brabant wallon","Nivelles",25000
"Flanders","West-Vlaanderen","Brugge",31000
"Flanders","West-Vlaanderen","Diksmuide",32000
"Flanders","West-Vlaanderen","Ieper",33000
"Flanders","West-Vlaanderen","Kortrijk",34000
"Flanders","West-Vlaanderen","Oostende",35000
"Flanders","West-Vlaanderen","Roeselare",36000
"Flanders","West-Vlaanderen","Tielt",37000
"Flanders","West-Vlaanderen","Veurne",38000
"Flanders","Oost-Vlaanderen","Aalst",41000
"Flanders","Oost-Vlaanderen","Dendermonde",42000
"Flanders","Oost-Vlaanderen","Eeklo",43000
"Flanders","Oost-Vlaanderen","Gent",44000
"Flanders","Oost-Vlaanderen","Oudenaarde",45000
"Flanders","Oost-Vlaanderen","Sint-Niklaas",46000
"Wallonia","Hainaut","Ath",51000
"Wallonia","Hainaut","Charleroi",52000
"Wallonia","Hainaut","Mons",53000
"Wallonia","Hainaut","Soignies",55000
"Wallonia","Hainaut","Thuin",56000
"Wallonia","Hainaut","Tournai-Mouscron",57000
"Wallonia","Hainaut","La Louvière",58000
"Wallonia","Liège","Huy",61000
"Wallonia","Liège","Liège",62000
"Wallonia","Liège","Verviers",63000
"Wallonia","Liège","Waremme",64000
"Flanders","Limburg","Hasselt",71000
"Flanders","Limburg","Maaseik",72000
"Flanders","Limburg","Tongeren",73000
"Wallonia","Luxembourg","Arlon",81000
"Wallonia","Luxembourg","Bastogne",82000
"Wallonia","Luxembourg","Marche-en-Famenne",83000
"Wallonia","Luxembourg","Neufchâteau",84000
"Wallonia","Luxembourg","Virton",85000
"Wallonia","Namur","Dinant",91000
"Wallonia","Namur","Namur",92000
"Wallonia","Namur","Philippeville",93000
